name,radius,mass,ExoRM,Forecaster,ExoRM res,Forecaster res
Kepler-50 b,0.34242,0.94939,1.0719,0.73841,0.12249,0.21098
Kepler-49 c,0.3881,0.92324,1.1184,0.81596,0.19519,0.10728
HD 219134 d,0.20683,1.2087,0.72891,0.50819,0.4798,0.70052
HD 207897 b,0.39811,1.1584,1.1211,0.83296,0.037277,0.3254
Kepler-48 d,0.30963,0.89927,1.0014,0.68273,0.10216,0.21654
Kepler-48 c,0.47857,0.99123,1.2162,0.96955,0.22498,0.021673
Kepler-48 b,0.33041,1.3243,1.0473,0.71802,0.27695,0.60626
Kepler-47 d,0.84757,1.2792,1.6542,1.596,0.37496,0.31684
Kepler-47 c,0.66745,0.50106,1.42,1.2902,0.91891,0.78918
Kepler-47 b,0.48144,2.8035,1.2205,0.97444,1.5829,1.829
HD 209458 b,1.2112,2.3084,2.574,4.6098,0.26563,2.3014
HD 213885 b,0.2418,0.94596,0.85425,0.56756,0.091712,0.3784
Kepler-46 b,0.95805,2.4491,2.0311,1.7836,0.41802,0.66552
HD 219134 b,0.20575,0.6371,0.72504,0.50636,0.087936,0.13074
Kepler-49 b,0.30963,0.9345,1.0014,0.68273,0.066939,0.25176
Kepler-38 b,0.63347,2.0864,1.4024,1.2325,0.68394,0.85382
Kepler-37 d,0.3075,0.30103,0.99684,0.67911,0.69581,0.37808
Kepler-37 c,-0.12205,0.11394,-0.44987,-0.44987,0.56381,0.56381
Kepler-27 c,0.85552,1.3263,1.6721,1.6095,0.34575,0.2832
Kepler-16 b,0.92682,2.0246,1.8841,1.7306,0.14051,0.29403
Kepler-26 c,0.39967,0.78675,1.1217,0.83561,0.33497,0.048858
Kepler-26 b,0.4624,0.7007,1.1922,0.9421,0.49147,0.2414
Kepler-25 c,0.65321,3.1213,1.4137,1.2661,1.7076,1.8552
Kepler-25 b,0.41497,0.95424,1.1313,0.86158,0.17703,0.092658
Kepler-17 b,1.1668,2.8714,2.5722,4.5594,0.29917,1.688
Kepler-24 c,0.44716,2.7063,1.17,0.91623,1.5363,1.7901
Kepler-24 b,0.30535,1.5224,0.99224,0.67547,0.53021,0.84698
Kepler-23 d,0.34242,1.2455,1.0719,0.73841,0.17364,0.5071
Kepler-15 b,1.0318,2.3217,2.5023,1.9088,0.18055,0.41287
Kepler-23 c,0.50515,2.9335,1.2569,1.0147,1.6766,1.9189
Kepler-18 b,0.30103,0.83885,0.98303,0.66813,0.14418,0.17072
Kepler-18 c,0.73957,1.238,1.4742,1.4127,0.2362,0.17464
Kepler-18 d,0.84386,1.2148,1.646,1.5897,0.43117,0.37489
Kepler-19 b,0.3442,0.78533,1.0751,0.74142,0.28974,0.043911
